psychotherapy	paɪʧoʊθəreɪpaɪ	<ˌsaɪkoʊˈθɛrəpi>
cribbage	krɪbbeɪʤ	<ˈkrɪbəʤ>
cozy	koʊzaɪ	<ˈkoʊzi>
tew	tu	<tu>
loca	loʊkɑ	<ˈloʊkə>
accompanied	ækkɑmpɑnid	<əˈkəmpənid>
ignored	ɪgnɔrd	<ˌɪgˈnɔrd>
atmospheric	ætmɑsfɛrɪk	<ˌætməsˈfɛrɪk>
prosecuting	prɑsikutɪŋ	<ˈprɑsɪˌkjutɪŋ>
assertive	æssərtaɪv	<əˈsərtɪv>
undermine	əndərmaɪn	<ˈəndərˌmaɪn>
carlin	kɑrlɪn	<ˈkɑrlɪn>
hopeless	hoʊplɛs	<ˈhoʊpləs>
bookie	bʊkaɪ	<ˈbʊki>
wuthering	wuθərɪŋ	<ˈwəðərɪŋ>
judicious	ʤudaɪkaʊz	<ʤuˈdɪʃəs>
watchman	wɑʧmæn	<ˈwɑʧmən>
conjugate	kɑnʤugeɪt	<ˌkɑnʤəˈgeɪt>
comp	kɑmp	<kɑmp>
lode	loʊd	<loʊd>
speedy	spidjaɪ	<ˈspiˌdi>
plunger	pləŋər	<ˈplənʤər>
callous	kællaʊz	<ˈkæləs>
triglyceride	traɪglɪkəraɪd	<traɪˈglɪsərˌaɪd>
payable	peɪeɪbli	<ˈpeɪəbəl>
farrow	fɑrroʊ	<ˈfɛˌroʊ>
merciless	mɛrkilɛs	<ˈmərsələs>
hypothermia	haɪpoʊθərmieɪ	<ˌhaɪpəˈθərmiə>
sampler	sæmplər	<ˈsæmplər>
brokerage	broʊkəreɪʤ	<ˈbroʊkərɪʤ>
snappy	snæppaɪ	<sˈnæpi>
inhabited	ɪnhɑbɪtɛd	<ˌɪnˈhæbətəd>
criminally	krɪmaɪnællaɪ	<ˈkrɪmənəli>
welcome	wɛlkoʊm	<ˈwɛlkəm>
rheumatology	rumɑtɑloʊgaɪ	<ˌruməˈtɑləʤi>
reactor	riæktɔr	<riˈæktər>
beset	bisɛt	<bɪˈsɛt>
lag	læg	<læg>
fanaticism	fɑnætaɪkɪs	<fəˈnætəˌsɪzəm>
pose	poʊz	<poʊz>
panel	pænɛl	<ˈpænəl>
hoary	hɔrjaɪ	<ˈhɔri>
dom	dɑm	<dɑm>
interdependence	ɪntərdipɛndɛns	<ˌɪntərdəˈpɛndəns>
sleek	slik	<slik>
monograph	mɑnoʊgræf	<ˈmɑnəˌgræf>
amorous	æmoʊraʊz	<ˈæmərəs>
lop	lɑp	<lɑp>
assortment	æssɔrtmɛnt	<əˈsɔrtmənt>
tribal	trɪbæl	<ˈtraɪbəl>
follower	fɑlloʊər	<ˈfɑloʊər>
rem	rɛm	<rɛm>
impure	ɪmpʊr	<ˌɪmˈpjʊr>
parry	pɑrraɪ	<ˈpɛri>
attributing	ættrɪbətɪŋ	<əˈtrɪbjətɪŋ>
slack	slæk	<slæk>
icy	aɪkaɪ	<ˈaɪsi>
strain	streɪn	<streɪn>
aloft	eɪlɑft	<əˈlɔft>
instruction	ɪnstrəktaɪn	<ˌɪnˈstrəkʃən>
flung	fləŋ	<fləŋ>
budge	bəʤ	<bəʤ>
justice	ʤəstaɪs	<ˈʤəstɪs>
capitalize	kæpaɪtælaɪz	<ˈkæpətəˌlaɪz>
salamander	sæleɪmændər	<ˌsæləˈmændər>
observer	ɑbsərvər	<əbˈzərvər>
sprinkle	sprɪnklu	<ˈsprɪŋkəl>
reproach	riprɑʧ	<riˈproʊʧ>
parsing	pɑrzɪŋ	<ˈpɑrsɪŋ>
redefinition	ridɛfaɪnitaɪn	<riˌdɛfəˈnɪʃən>
lar	lɑr	<lɑr>
cavendish	kævɛndɪʃ	<ˈkævəndɪʃ>
improbable	ɪmprɑbeɪbli	<ˌɪmˈprɑbəbəl>
brad	bræd	<bræd>
intensified	ɪntɛnsifaɪd	<ˌɪnˈtɛnsɪˌfaɪd>
mistrust	mɪstrəst	<mɪˈstrəst>
ripe	raɪp	<raɪp>
became	bikeɪm	<bɪˈkeɪm>
corrie	kɔrraɪ	<ˈkɔri>
ferrous	fərraʊz	<ˈfɛrəs>
quoting	kwɑtɪŋ	<kˈwoʊtɪŋ>
uniformed	unifɔrmd	<ˈjunəˌfɔrmd>
manufacture	mænufæktʊr	<ˌmænjəˈfækʧər>
washing	wɑʃɪŋ	<ˈwɑʃɪŋ>
hobbyist	hɑbbaɪɪst	<ˈhɑbiɪst>
coin	kɔɪn	<kɔɪn>
arroyo	ɑrrɔɪoʊ	<ərɔɪoʊ>
rallied	rællaɪd	<ˈrælid>
dimer	daɪmɛr	<ˈdaɪmər>
aberration	æbərrɑtaɪn	<ˌæbərˈeɪʃən>
arguing	ɑrguɪŋ	<ˈɑrgjuɪŋ>
reactionary	riæktaɪnɑrjaɪ	<riˈækʃəˌnɛri>
drumming	drəmmɪŋ	<ˈdrəmɪŋ>
bagpipe	bægpaɪp	<ˈbægˌpaɪp>
cassette	kæssɛt	<kəˈsɛt>
defensively	difɛnsaɪvlaɪ	<dɪˈfɛnsɪvli>
dauphin	doʊfɪn	<ˈdaʊfɪn>
incubator	ɪnkubɑtɔr	<ˈɪŋkjəˌbeɪtər>
turnout	tərnaʊt	<ˈtərˌnaʊt>
synchronize	sɪnʧroʊnaɪz	<ˈsɪŋkrəˌnaɪz>
conditioned	kɑndaɪtaɪnd	<kənˈdɪʃənd>
bathrobe	bæθroʊb	<ˈbæθˌroʊb>
bringing	brɪŋɪŋ	<ˈbrɪŋɪŋ>
cannery	kænnɛrjaɪ	<ˈkænəri>
snowshoe	snoʊʃoʊ	<sˈnoʊˌʃu>
grinder	grɪndər	<ˈgraɪndər>
onion	ɑnɪɑn	<ˈənjən>
florin	flɔrɪn	<ˈflɔrɪn>
unrivaled	ənraɪveɪld	<ənˈraɪvəld>
winger	wɪŋər	<ˈwɪŋər>
auspices	ɑzpɪkɛs	<ˈɔspɪsɪz>
abbey	æbbeɪ	<ˈæbi>
speculating	spɛkulætɪŋ	<ˈspɛkjəˌleɪtɪŋ>
pathway	pæθweɪ	<ˈpæθˌweɪ>
rookie	rʊkaɪ	<ˈrʊki>
mathematically	mæθimætaɪkællaɪ	<ˌmæθəˈmætɪkəli>
correlation	kɔrrilɑtaɪn	<ˌkɔrəˈleɪʃən>
kidnapping	kɪdnæppɪŋ	<ˈkɪdˌnæpɪŋ>
coupler	kuplər	<ˈkəplər>
sewer	suər	<suər>
thoroughfare	θɔrəffɛr	<ˈθəroʊˌfɛr>
sexist	sɛksɪst	<ˈsɛksɪst>
lox	lɑks	<ləks>
tenth	tɛnθ	<tɛnθ>
chippendale	ʧɪppɛndeɪl	<ˈʧɪpəˌdeɪl>
ponytail	poʊnaɪteɪl	<ˈpoʊniˌteɪl>
module	mɑdjul	<ˈmɑʤul>
readability	rɛdeɪbɪlaɪtaɪ	<ˌridəˈbɪlɪti>
autopsy	oʊtɑpsaɪ	<ˈɔˌtɑpsi>
wartime	wɑrtaɪm	<ˈwɔrˌtaɪm>
oblong	ɑblɑŋ	<ˈɑblɔŋ>
lowering	loʊərɪŋ	<loʊərɪŋ>
spleen	spin	<splin>
lithograph	lɪθoʊgræf	<ˈlɪθəˌgræf>
shortfall	ʃɔrtfæl	<ˈʃɔrtˌfɔl>
dispensing	dɪspɛnzɪŋ	<dɪˈspɛnsɪŋ>
powders	paʊdərs	<ˈpaʊdərz>
sporadically	spoʊrædaɪkællaɪ	<spərˈædɪkli>
stung	stəŋ	<stəŋ>
resin	rɛsɪn	<ˈrɛzɪn>
jock	ʤɑk	<ʤɑk>
rebate	ribeɪt	<ˈriˌbeɪt>
writing	rɪtɪŋ	<ˈraɪtɪŋ>
strengthen	stərʧɛn	<ˈstrɛŋθən>
wetness	wɛtnɛs	<ˈwɛtnəs>
biochemistry	baɪoʊʧɛmɪstraɪ	<ˌbaɪoʊˈkɛmɪˌstri>
parabolic	pɑreɪbɑlɪk	<ˌpɛrəˈbɑlɪk>
deprive	dipraɪv	<dɪˈpraɪv>
galore	gɑlɔr	<gəˈlɔr>
prose	proʊz	<proʊz>
encyclical	ɛnkɪklaɪkæl	<ɛnˈsɪklɪkəl>
knockout	nɑkaʊt	<ˈnɑˌkaʊt>
widespread	waɪdsprɛd	<ˈwaɪdˈsprɛd>
cougar	kugɑr	<ˈkugər>
down	daʊn	<daʊn>
rebroadcast	ribroʊdkæst	<riˈbrɔdˌkæst>
stardust	stɑrdəst	<ˈstɑrˌdəst>
nitric	nitrɪk	<ˈnaɪtrɪk>
present	prɛzɛnt	<ˈprɛzənt>
freebie	fribaɪ	<ˈfribi>
raceway	reɪsweɪ	<ˈreɪsˌweɪ>
patio	pɑtioʊ	<ˈpætiˌoʊ>
home	hoʊm	<hoʊm>
coon	kun	<kun>
transcriber	trænskrɪbər	<trænˈskraɪbər>
underhill	əndərhɪl	<ˈəndərˌhɪl>
ideal	aɪdiæl	<aɪˈdil>
nightclub	naɪtkləb	<ˈnaɪtˌkləb>
introspection	ɪntroʊspɛktaɪn	<ˌɪntrəˈspɛkʃən>
oilseed	ɔɪlsid	<ˈɔɪlˌsid>
recording	rikɔrdɪŋ	<rɪˈkɔrdɪŋ>
esprit	ɛsprɪt	<ɛˈspri>
merits	mɛrɪts	<ˈmɛrɪts>
frustrated	frəstrætɛd	<ˈfrəˌstreɪtəd>
creamy	krimjaɪ	<ˈkrimi>
verbena	vərbinɑ	<vərˈbinə>
regionally	rigɪnællaɪ	<ˈriʤənəli>
disruption	dɪsrəptaɪn	<dɪsˈrəpʃən>
salami	sɑlɑmi	<səˈlɑmi>
transcribed	trænskraɪbd	<trænˈskraɪbd>
commissary	kɑmmɪssɑrjaɪ	<ˈkɑməˌsɛri>
gilded	gɪldɛd	<ˈgɪldɪd>
kickoff	kɪkɔf	<ˈkɪˌkɔf>
ketone	kitoʊn	<ˈkitoʊn>
surprisingly	sərprɪsɪŋlaɪ	<səˈpraɪzɪŋli>
rapping	ræppɪŋ	<ˈræpɪŋ>
eating	itɪŋ	<ˈitɪŋ>
olfactory	oʊlfæktoʊraɪ	<oʊlˈfæktəri>
gasoline	gæsoʊlaɪn	<ˈgæsəˌlin>
snuck	sək	<snək>
bedrock	bɛdrɑk	<ˈbɛˌdrɑk>
hammock	hæmmɑk	<ˈhæmək>
importation	ɪmpɔrtɑtaɪn	<ˌɪmpɔrˈteɪʃən>
namesake	neɪmseɪk	<ˈneɪmˌseɪk>
extinguisher	ɛkstɪngɪʃər	<ɪkˈstɪŋgwɪʃər>
evergreen	ɛvərgrin	<ˈɛvərˌgrin>
roommate	rummeɪt	<ˈruˌmeɪt>
melamine	mɛleɪmaɪn	<ˈmɛləˌmin>
residency	rɛsaɪdɛnkaɪ	<ˈrɛzɪdənsi>
multicolored	məltikɑlɔrd	<ˌməltiˈkələrd>
muscle	məskli	<ˈməsəl>
messy	mɛsjaɪ	<ˈmɛsi>
impediment	ɪmpɛdaɪmɛnt	<ˌɪmˈpɛdəmənt>
garnett	gɑrnɛt	<ˈgɑrnɪt>
gruesome	grusoʊm	<ˈgrusəm>
book	bʊk	<bʊk>
resumed	risumd	<rɪˈzumd>
unmet	ənmɛt	<ənˈmɛt>
