ing	<ɪŋ>
swoop	<swup>
strong	<strɔŋ>
quill	<kwɪl>
whale	<weɪl>
pooch	<puʧ>
paced	<peɪst>
munk	<məŋk>
foe	<foʊ>
staph	<stæf>
balm	<bɑm>
spake	<speɪk>
hyde	<haɪd>
gill	<gɪl>
sib	<sɪb>
dot	<dɑt>
preach	<priʧ>
pique	<pik>
tease	<tiz>
niece	<nis>
blimp	<blɪmp>
sack	<sæk>
graze	<greɪz>
mare	<mɛr>
bloke	<bloʊk>
domed	<doʊmd>
striped	<straɪpt>
scaled	<skeɪld>
snooze	<snuz>
ruck	<rək>
shay	<ʃeɪ>
barre	<ˈbɛri>
gents	<ʤɛnts>
boe	<boʊ>
reed	<rid>
that	<ðət>
capped	<kæpt>
chord	<kɔrd>
much	<məʧ>
crete	<krit>
vim	<vɪm>
priced	<praɪst>
fluke	<fluk>
tyrant	<ˈtaɪrənt>
quay	<ki>
trig	<trɪg>
rife	<raɪf>
vein	<veɪn>
calves	<kævz>
fide	<faɪd>
marc	<mɑrk>
stuck	<stək>
spouse	<spaʊs>
kis	<kɪs>
yuk	<jək>
banc	<bæŋk>
cheers	<ʧɪrz>
psyche	<ˈsaɪki>
cleft	<klɛft>
tally	<ˈtæli>
rhythm	<ˈrɪðəm>
rune	<run>
plague	<pleɪg>
mesh	<mɛʃ>
raff	<ræf>
birr	<bər>
bliss	<blɪs>
quel	<kwɛl>
cain	<keɪn>
mau	<moʊ>
voir	<vwɑr>
rall	<rɔl>
arms	<ɑrmz>
tweet	<twit>
jua	<ʤuə>
means	<minz>
nay	<neɪ>
cramped	<kræmpt>
eased	<izd>
cleat	<klit>
rolled	<roʊld>
cps	<ˈsiˌpiˈɛs>
alfa	<ˈælfə>
ringed	<rɪŋd>
racks	<ræks>
mink	<mɪŋk>
womb	<wum>
cape	<keɪp>
rong	<rɔŋ>
shah	<ʃɑ>
larch	<lɑrʧ>
lights	<laɪts>
fringe	<frɪnʤ>
paled	<peɪld>
taught	<tɔt>
pairs	<pɛrz>
nurse	<nərs>
stump	<stəmp>
malt	<mɔlt>
glance	<glæns>
strays	<streɪz>
grub	<grəb>
flush	<fləʃ>
bene	<ˈbɛnə>
iced	<aɪst>
yip	<jɪp>
puls	<pʊlz>
waltz	<wɔlts>
grilled	<grɪld>
smash	<smæʃ>
newt	<nut>
mien	<min>
flawed	<flɔd>
spoiled	<spɔɪld>
pimp	<pɪmp>
bronze	<brɑnz>
stern	<stərn>
waves	<weɪvz>
torn	<tɔrn>
tall	<tɔl>
yell	<jɛl>
plunge	<plənʤ>
stet	<stɛt>
keel	<kil>
lars	<lɑrz>
job	<ʤɑb>
bused	<bəst>
kit	<kɪt>
joss	<ʤɔs>
terse	<tərs>
kneel	<nil>
croup	<krup>
brash	<bræʃ>
mob	<mɑb>
teens	<tinz>
liked	<laɪkt>
clone	<kloʊn>
aw	<ɔ>
hives	<haɪvz>
beg	<bɛg>
nonce	<nɑns>
fax	<fæks>
egg	<ɛg>
beast	<bist>
cusp	<kəsp>
nuts	<nəts>
food	<fud>
tae	<teɪ>
cros	<krɔs>
bake	<beɪk>
hint	<hɪnt>
scarf	<skɑrf>
fume	<fjum>
haste	<heɪst>
moan	<moʊn>
guy	<gaɪ>
decks	<dɛks>
strick	<strɪk>
crab	<kræb>
bloc	<blɑk>
aid	<eɪd>
yet	<jɛt>
sloth	<sloʊθ>
rats	<ræts>
mousse	<mus>
bounce	<baʊns>
aug	<ˈɔgəst>
burke	<bərk>
forge	<fɔrʤ>
wich	<wɪʧ>
ange	<eɪnʤ>
tops	<tɑps>
gnat	<næt>
sticks	<stɪks>
lons	<lɑnz>
swine	<swaɪn>
plea	<pli>
spruce	<sprus>
raz	<ræz>
ids	<ˈaɪˈdiz>
nur	<nʊr>
shone	<ʃoʊn>
doe	<doʊ>
shark	<ʃɑrk>
scorn	<skɔrn>
smart	<smɑrt>
liang	<ljæŋ>
flame	<fleɪm>
passe	<ˌpæˈseɪ>
chaise	<ʃeɪz>
therm	<θərm>
pute	<pjut>
kcal	<ˈkeɪkɑl>
prune	<prun>
gau	<goʊ>
pills	<pɪlz>
links	<lɪŋks>
gild	<gɪld>
snuck	<snək>
poised	<pɔɪzd>
hills	<hɪlz>
cort	<kɔrt>
bait	<beɪt>
shrug	<ʃrəg>
grits	<grɪts>
yolk	<joʊk>
eared	<ɪrd>
paw	<pɔ>
wight	<waɪt>
cirque	<sərk>
fudge	<fəʤ>
soul	<soʊl>
dise	<daɪz>
frown	<fraʊn>
yank	<jæŋk>
vik	<vɪk>
speer	<spɪr>
giles	<ʤaɪlz>
bowls	<boʊlz>
crouse	<kraʊs>
weigh	<weɪ>
heap	<hip>
pill	<pɪl>
flue	<flu>
dwelt	<dwɛlt>
jane	<ʤeɪn>
kwan	<kwɑn>
zee	<zi>
franc	<fræŋk>
mug	<məg>
grom	<grɑm>
cramp	<kræmp>
cracked	<krækt>
badge	<bæʤ>
plains	<pleɪnz>
spate	<speɪt>
glazed	<gleɪzd>
doll	<dɑl>
celled	<sɛld>
trow	<troʊ>
lashed	<læʃt>
choir	<kwaɪər>
salm	<sɑm>
teed	<tid>
duo	<ˈduoʊ>
lewd	<lud>
midge	<mɪʤ>
dike	<daɪk>
twelfth	<twɛlfθ>
thwart	<θwɔrt>
shelled	<ʃɛld>
leal	<lil>
blond	<blɑnd>
bight	<baɪt>
jee	<ʤi>
launch	<lɔnʧ>
prow	<praʊ>
auth	<ɔθ>
wedge	<wɛʤ>
backed	<bækt>
smile	<smaɪl>
greaves	<grivz>
sixth	<sɪksθ>
flies	<flaɪz>
skiff	<skɪf>
worms	<wərmz>
rope	<roʊp>
staunch	<stɔnʧ>
swoosh	<swuʃ>
wharf	<wɔrf>
scourge	<skərʤ>
stig	<stɪg>
raise	<reɪz>
lise	<laɪz>
trice	<traɪs>
seer	<sir>
blinks	<blɪŋks>
probe	<proʊb>
loss	<lɔs>
trine	<traɪn>
blight	<blaɪt>
toss	<tɔs>
drone	<droʊn>
eyes	<aɪz>
breach	<briʧ>
imp	<ɪmp>
kang	<kɑŋ>
kemp	<kɛmp>
porch	<pɔrʧ>
pail	<peɪl>
fleece	<flis>
strive	<straɪv>
voiced	<vɔɪst>
nook	<nʊk>
rung	<rəŋ>
ewe	<ju>
endemic	<ɛnˈdɛmɪk>
grange	<greɪnʤ>
refer	<rɪˈfər>
sprawl	<sprɔl>
gyn	<gɪn>
coarse	<kɔrs>
ince	<ɪns>
dryer	<draɪər>
yarn	<jɑrn>
blues	<bluz>
whoops	<wups>
ranch	<rænʧ>
schoon	<skun>
crock	<krɑk>
prime	<praɪm>
fez	<fɛz>
foul	<faʊl>
tian	<tjɑn>
j	<ʤeɪ>
tailed	<teɪld>
slush	<sləʃ>
vie	<vaɪ>
drab	<dræb>
mince	<mɪns>
whoa	<woʊ>
cleanse	<klɛnz>
was	<wɑz>
shawl	<ʃɔl>
creep	<krip>
sync	<sɪŋk>
etc	<ˌɛtˈsɛtərə>
knelt	<nɛlt>
shale	<ʃeɪl>
gay	<geɪ>
month	<mənθ>
lox	<ləks>
stalled	<stɔld>
lodged	<lɑʤd>
groan	<groʊn>
gulp	<gəlp>
doom	<dum>
share	<ʃɛr>
filed	<faɪld>
mph	<ˈɛmˈpiˈeɪʧ>
snell	<snɛl>
raj	<rɑʤ>
warmth	<wɔrmθ>
shrimp	<ʃrɪmp>
sept	<sɛpt>
oct	<ɔkt>
bridge	<brɪʤ>
soak	<soʊk>
mech	<mɛk>
hutch	<həʧ>
holm	<hoʊm>
emu	<ˈimˌju>
thyme	<θaɪm>
hit	<hɪt>
gare	<gɛr>
sneeze	<sniz>
yule	<jul>
wolves	<wʊlvz>
rank	<ræŋk>
teal	<til>
bonne	<bɑn>
rift	<rɪft>
pale	<peɪl>
sprung	<sprəŋ>
mole	<moʊl>
beer	<bɪr>
versed	<vərst>
leaves	<livz>
cron	<krɑn>
coot	<kut>
ghoul	<gul>
mone	<moʊn>
stash	<stæʃ>
marsh	<mɑrʃ>
kiln	<kɪln>
grapes	<greɪps>
fouls	<faʊlz>
loe	<loʊ>
tung	<təŋ>
shalt	<ʃælt>
ninth	<naɪnθ>
dang	<dæŋ>
oath	<oʊθ>
willed	<wɪld>
samp	<sæmp>
berge	<bərʤ>
touche	<ˈtuˌʃeɪ>
thud	<θəd>
cell	<sɛl>
zed	<zɛd>
stalk	<stɔk>
roux	<ru>
caught	<kɔt>
hoe	<hoʊ>
kale	<keɪl>
mav	<mɑv>
brie	<bri>
slang	<slæŋ>
slant	<slænt>
crowd	<kraʊd>
batt	<bæt>
comm	<kɑm>
chen	<ʧɛn>
gush	<gəʃ>
paved	<peɪvd>
dealt	<dɛlt>
seep	<sip>
vore	<vɔr>
charles	<ˈʧɑrəlz>
flaps	<flæps>
bled	<blɛd>
bast	<bæst>
slump	<sləmp>
fane	<feɪn>
pele	<ˈpɛleɪ>
drought	<draʊt>
assed	<æst>
sealed	<sild>
dredge	<drɛʤ>
shank	<ʃæŋk>
gown	<gaʊn>
tory	<ˈtɔri>
licht	<lɪkt>
if	<ɪf>
hajj	<hæʤ>
mok	<mɑk>
halves	<hævz>
kal	<kæl>
needs	<nidz>
racial	<ˈreɪʃəl>
wow	<waʊ>
seize	<siz>
aide	<eɪd>
smear	<smɪr>
brine	<braɪn>
warp	<wɔrp>
torch	<tɔrʧ>
tears	<tɪrz>
chef	<ʃɛf>
dates	<deɪts>
pye	<paɪ>
shove	<ʃəv>
built	<bɪlt>
chad	<ʧæd>
quench	<kwɛnʧ>
rains	<reɪnz>
waved	<weɪvd>
seng	<sɛŋ>
buse	<bjuz>
blas	<blɑs>
schism	<ˈskɪzəm>
lymph	<lɪmf>
pipes	<paɪps>
strand	<strænd>
fag	<fæg>
burp	<bərp>
kris	<krɪs>
queue	<kju>
gosh	<gɑʃ>
dud	<dəd>
strait	<streɪt>
babe	<beɪb>
rue	<ru>
bane	<beɪn>
vous	<vu>
tusk	<təsk>
trained	<treɪnd>
tale	<teɪl>
claw	<klɔ>
shap	<ʃæp>
phones	<foʊnz>
noes	<noʊz>
barbed	<bɑrbd>
glint	<glɪnt>
fier	<fɪr>
griff	<grɪf>
lint	<lɪnt>
wreath	<riθ>
sarge	<sɑrʤ>
pushed	<pʊʃt>
spud	<spəd>
nave	<neɪv>
shag	<ʃæg>
suite	<swit>
swede	<swid>
thru	<θru>
wheeled	<wild>
dive	<daɪv>
mace	<meɪs>
loup	<lup>
thee	<ði>
shaved	<ʃeɪvd>
spleen	<splin>
conch	<kɑŋk>
plugged	<pləgd>
fleck	<flɛk>
quell	<kwɛl>
fant	<fænt>
lisk	<lɪsk>
stealth	<stɛlθ>
kite	<kaɪt>
moo	<mu>
turf	<tərf>
peaked	<pikt>
funds	<fəndz>
veiled	<veɪld>
prank	<præŋk>
sets	<sɛts>
delve	<dɛlv>
crypt	<krɪpt>
snub	<snəb>
crept	<krɛpt>
thorp	<θɔrp>
notch	<nɑʧ>
straw	<strɔ>
soothe	<suð>
bok	<bɑk>
jaw	<ʤɔ>
please	<pliz>
vette	<vɛt>
fuge	<fjuʤ>
gout	<gaʊt>
muff	<məf>
trades	<treɪdz>
poop	<pup>
kitsch	<kɪʧ>
hers	<hərz>
armed	<ɑrmd>
stave	<steɪv>
dorr	<dɔr>
crepe	<kreɪp>
fitch	<fɪʧ>
heh	<hɛ>
cover	<ˈkəvər>
broke	<broʊk>
joice	<ʤɔɪs>
tonne	<tən>
earned	<ərnd>
stark	<stɑrk>
keyed	<kid>
crabs	<kræbz>
tope	<toʊp>
bribe	<braɪb>
twig	<twɪg>
swath	<swɑθ>
spore	<spɔr>
cues	<kjuz>
snag	<snæg>
clothes	<kloʊðz>
chose	<ʧoʊz>
dues	<duz>
pelt	<pɛlt>
fork	<fɔrk>
dith	<dɪθ>
bitch	<bɪʧ>
app	<æp>
hours	<aʊərz>
brooch	<bruʧ>
staged	<steɪʤd>
near	<nɪr>
brushed	<brəʃt>
bream	<brim>
merle	<mərl>
toy	<tɔɪ>
luge	<luʤ>
roi	<rɔɪ>
jill	<ʤɪl>
fries	<fraɪz>
nored	<nɔrd>
sloop	<slup>
hors	<ɔr>
moe	<moʊ>
kern	<kərn>
disk	<dɪsk>
strike	<straɪk>
inter	<ˌɪnˈtər>
stores	<stɔrz>
cleave	<kliv>
chum	<ʧəm>
pulp	<pəlp>
wrought	<rɔt>
must	<məst>
peak	<pik>
chops	<ʧɑps>
crumb	<krəm>
edit	<ˈɛdət>
wench	<wɛnʧ>
dunk	<dəŋk>
ross	<rɔs>
scum	<skəm>
brecht	<brɛkt>
shelves	<ʃɛlvz>
smirk	<smərk>
err	<ɛr>
kim	<kɪm>
tong	<tɔŋ>
prone	<proʊn>
nah	<nɑ>
rote	<roʊt>
glib	<glɪb>
douche	<duʃ>
bram	<bræm>
deuce	<dus>
hail	<heɪl>
neis	<niz>
monk	<məŋk>
sri	<ˈɛˈsɑˈraɪ>
bice	<baɪs>
crux	<krəks>
kain	<keɪn>
loads	<loʊdz>
bick	<bɪk>
frigid	<ˈfrɪʤəd>
cush	<kʊʃ>
org	<ɔrg>
auld	<ɔld>
guin	<gɪn>
spent	<spɛnt>
pout	<paʊt>
geek	<gik>
kish	<kɪʃ>
zap	<zæp>
strife	<straɪf>
puck	<pək>
grine	<graɪn>
chock	<ʧɑk>
swatch	<swɑʧ>
mailed	<meɪld>
purse	<pərs>
spie	<spi>
sparks	<spɑrks>
rye	<raɪ>
spoils	<spɔɪlz>
ours	<ɑrz>
plough	<ploʊ>
lomb	<lɑm>
hoar	<hɔr>
plaque	<plæk>
flair	<flɛr>
trough	<trɔf>
chimp	<ʧɪmp>
broom	<brum>
wye	<waɪ>
gauss	<gaʊs>
pote	<poʊt>
bah	<bɑ>
alias	<ˈeɪliəs>
twang	<twɑŋ>
eighth	<eɪθ>
lathe	<leɪð>
fourth	<fɔrθ>
ouch	<aʊʧ>
scud	<skəd>
faced	<feɪst>
dwarf	<dwɔrf>
shrub	<ʃrəb>
crust	<krəst>
craze	<kreɪz>
thresh	<θrɛʃ>
sludge	<sləʤ>
hush	<həʃ>
rpm	<ˈɑrˈpiˈɛm>
braz	<bræz>
isle	<aɪl>
heald	<hild>
forked	<fɔrkt>
splint	<splɪnt>
shook	<ʃʊk>
breathe	<brið>
mice	<maɪs>
choy	<ʧɔɪ>
grime	<graɪm>
pai	<pɑi>
hath	<hæθ>
jakes	<ʤeɪks>
chives	<ʧaɪvz>
holt	<hoʊlt>
lawn	<lɔn>
stroud	<straʊd>
fledged	<flɛʤd>
poof	<puf>
ebb	<ɛb>
wry	<raɪ>
kelp	<kɛlp>
weave	<wiv>
moose	<mus>
f	<ɛf>
truce	<trus>
quote	<kwoʊt>
pray	<preɪ>
shard	<ʃɑrd>
mah	<mɑ>
jong	<ʤɔŋ>
leach	<liʧ>
lien	<lin>
paz	<pɑz>
poe	<poʊ>
delft	<dɛlft>
josh	<ʤɑʃ>
dukes	<duks>
edged	<ɛʤd>
bathe	<beɪð>
flute	<flut>
dressed	<drɛst>
strode	<stroʊd>
pere	<pər>
speck	<spɛk>
floats	<floʊts>
whig	<wɪg>
glaze	<gleɪz>
kroon	<krun>
jade	<ʤeɪd>
chee	<ʧi>
chore	<ʧɔr>
fawn	<fɔn>
prose	<proʊz>
bray	<breɪ>
dob	<dɑb>
choose	<ʧuz>
laun	<lɔn>
beet	<bit>
daze	<deɪz>
clout	<klaʊt>
macke	<mæk>
ident	<aɪˈdɛnt>
wont	<woʊnt>
kip	<kɪp>
wine	<waɪn>
blob	<blɑb>
clasp	<klæsp>
jae	<ʤeɪ>
clung	<kləŋ>
prelim	<prɪˈlɪm>
pouch	<paʊʧ>
growl	<graʊl>
vexed	<vɛkst>
chess	<ʧɛs>
cinch	<sɪnʧ>
leth	<lɛθ>
stein	<staɪn>
heave	<hiv>
poul	<pul>
stemmed	<stɛmd>
hoke	<hoʊk>
nik	<nɪk>
globe	<gloʊb>
reis	<riz>
pets	<pɛts>
stile	<staɪl>
gills	<gɪlz>
caulk	<kɔk>
those	<ðoʊz>
crotch	<krɑʧ>
sown	<soʊn>
pride	<praɪd>
slew	<slu>
glove	<gləv>
dak	<ˈdiˈeɪˈkeɪ>
thief	<θif>
creek	<krik>
geck	<ʤɛk>
oops	<ups>
loaves	<loʊvz>
tuft	<təft>
skit	<skɪt>
knives	<naɪvz>
flint	<flɪnt>
torr	<tɔr>
leek	<lik>
mart	<mɑrt>
tay	<teɪ>
skull	<skəl>
foil	<fɔɪl>
gad	<gæd>
foam	<foʊm>
roads	<roʊdz>
taunt	<tɔnt>
burk	<bərk>
gains	<geɪnz>
glut	<glət>
ell	<ɛl>
ounce	<aʊns>
sleigh	<sleɪ>
zipped	<zɪpt>
threw	<θru>
yeah	<jæ>
sheaf	<ʃif>
heid	<haɪd>
feast	<fist>
